label,value
"10Th Road, Chembur Church (BEST)","19.056416,72.900551"
"16Th Road, Khar (BEST)","19.073247,72.830812"
600 Tenament Gate (BEST),"19.054371,72.921035"
A.D.Modi Institute (Vidya Nagari) (BEST),"19.069371,72.859301"
A.H.Ansari Chowk (Nagpada) (BEST),"18.970602,72.832696"
"A.H.Ansari Chowk, New Nagpada (BEST)","18.966582,72.832585"
"A.H.Ansari Chowk, Salvation Army (BEST)","18.973001,72.827662"
A.P.M.C Sector 26 (BEST),"19.086864,73.010608"
A.P.M.C. Fruit And Vegetable Market (BEST),"19.076592,73.009721"
A.T.I. (Chunabhatti) (BEST),"19.054078,72.881294"
Aai Tuljabhavani Chowk (BEST),"19.142248,72.829162"
Aakashganga Society (BEST),"19.046931,72.860264"
Aangan (BEST),"19.207933,72.872682"
Aarey (Metro),"19.16970788,72.85866712"
"Aarey Hospital, Municipal School (BEST)","19.14832,72.876563"
Aarey Municipal School (BEST),"19.149133,72.877685"
"Aarey Police Station, Chhota Kashmir (BEST)","19.16251,72.871308"
Aarey Pump House (BEST),"19.154399,72.875068"
Aarey Unit No.10 (Central Dairy) (BEST),"19.157797,72.86890897"
Aarey Unit No.13 (Central Dairy) (BEST),"19.15615398,72.86574103"
Aarey Unit No.16 (BEST),"19.146508,72.87486196"
Aarey Unit No.2 & 3 (BEST),"19.164938,72.867485"
Aarey Unit No.32 (BEST),"19.164027,72.870262"
"Aarey Unit No.6, Market (BEST)","19.158048,72.874353"
Aarey Unit No.7 (BEST),"19.158059,72.879144"
Aarey Unit No.8 (BEST),"19.169416,72.862121"
Abdul Rehman Sufi Grd (Zula Maidan) (BEST),"18.974356,72.826701"
Abhinav Nagar (BEST),"19.23188333,72.86823333"
Abhinav School (BEST),"19.302619,72.857913"
Abhishek Apartments (BEST),"19.12135,72.826165"
Abhyudaya Bank (BEST),"19.226147,72.857513"
Acharya Atre Chowk (Worli Naka) (BEST),"18.996907,72.816531"
Acharya Atre Nagar (Mono),"19.02378,72.86381"
"Acharya Garden, Diamond Garden (BEST)","19.051411,72.900449"
Acharya Marathe College (BEST),"19.058469,72.908094"
Acharya Vidyaniketan (Mahul) (BEST),"19.027684,72.890816"
Acharya Vinoba Bhave Nagar (Kurla-W) (BEST),"19.073718,72.881513"
Achola Talav (VVMT),"19.4115556,72.82693353"
Adarsh Dairy (Malad-W) (BEST),"19.192441,72.842881"
Adarsh High School (Anik) (BEST),"19.024218,72.876882"
Adarsh High School (BEST),"19.022031,72.875933"
Adarsh Market (BEST),"19.013098,73.017842"
